ID,Name,Country,Type_of_Content,Average_Views,Revenue,Primary_Game
zubhuz3uq05pbos7vocszpo7wkwvuo0y,Allison Beard,United States,Short Form,35203,8.14,Tales from the Borderlands
njynzkgqhlrcox2hnblvboqostotpxy8,Ingrid Axelsson,Sweden,Blogger,83314,12.3,Stonefly
vlz049enulqjidknwi5flul1rsrla8s8,Tanaka Yumi,Japan,LiveStreamer,24127,9.49,Bloodroots
gyllr6zayg5k8x3fspbznrmnn94r5sf6,Sato Kenji,Japan,Short Form,947138,215.19,Farming Simulator 22
65fpyst5v0175du23jh0zagrd1ppkpgg,Daniel Salinas,United States,Long Form,3253719,1024.69,Mars Horizon
xxrppnl6rnkwxzwl9pqrmou803jw6r8y,Nichole Lane,United States,LiveStreamer,128240,29.81,The Escapists 2
p52ay7ov50ew25x1fvk1pbcd6fxnoq37,Jack Pollard,United States,Short Form,6091833,1422.74,Ashen
dimqz300wzmage3ww5chak55zx6b0rkw,Louise de la Fontaine,France,LiveStreamer,71189,34.43,The Fall
8bor2keg7v48tpg7uv5ipbxmmnr1v1zn,Harshil D’Alia,India,Long Form,203363,16.61,Moonlighter
726zxi9qisnfdmov2hj1ka14y8afefk9,Teodosio Millán Pinto,Spain,Blogger,112423,16.49,MudRunner
d372dtf2533uot477iqfxew8afgq3cz2,Derek Wright,United States,Short Form,699224,151.88,Windbound
uktxe12vbss6fqylgcdo1wdslwfj7sta,Kim Perez,United States,Long Form,354160,87.94,Stubbs the Zombie in Rebel Without a Pulse
assslslv3n1uhygsw419a42w44wufeqj,Mrs Harriet Freeman,United Kingdom,LiveStreamer,197072,66.2,Stonefly
ncc2atrd83x9age9ny3mub6lbu9w3ggo,Gabriella Olsson,Sweden,Short Form,764180,194.6,Prey
to21yz70rdytqg1gym733oxn4j0ha0w7,Mrs. Emily Ingram,United States,LiveStreamer,3753106,1169.02,Hypnospace Outlaw
vd4qcs5whl6tmtn30qq4f4qmu1ue4uxt,Nakamura Naomi,Japan,LiveStreamer,858233,214.77,Dark Deception
lr55i8n0e4b77l577mbsmexrpo27f9ui,Maria Luísa Abreu,Brazil,LiveStreamer,64528,25.36,Rebel Galaxy
rt4i7znmd400uildeha39e6ta6dbab8y,Han Jun-ho,South Korea,Long Form,132946,51.32,Franchise Hockey Manager 8
whhkt1yjfe8udttj72ugl6tbb6bndoz6,Kalina Szajda,Poland,Long Form,215012,62.42,Skate City
d5dt1ozc0q17eljodmvoqh7z7hjmqdvj,Travis Marks,United States,Short Form,107171,22.79,Titan Quest Anniversary Edition
4fbvod71pukct2qpytoy7wpg8e5k1r2t,Pasqual Nitti-Petralli,Italy,Long Form,342393,29.72,Boomerang X
m1fb8c7x0h3jujd0ib6iidlrye89fx5r,Tanaka Akira,Japan,Long Form,586769,88.36,Genesis Alpha One Deluxe Edition
9gov1ona6zzqauua8kscqcdwna2lf4tl,Nakamura Akira,Japan,Long Form,5555590,704.13,Assassin's Creed Syndicate Standard Edition
0ex7ki139do70iu7hwlwzub3zupslsiy,Laura de Barral,Spain,Blogger,22618,2.55,The Legend of Heroes: Trails of Cold Steel III
0c5u8yl9ippd7100yohumrecdhzv2gwu,Friedrich-Wilhelm Dörschner-Schweitzer,Germany,LiveStreamer,419014,93.02,Nexomon: Extinction
rgoefqbki13y6yf36nysczqwynvvrm1t,Yamamoto Sakura,Japan,Short Form,561716,93.45,The Lion's Song
eq4sbu35bw92o64zbt2w3at7xdaebl3d,Angelica Conrad,United States,LiveStreamer,152973,24.75,The Jackbox Party Pack 6
a0ipy0dga6zimrl9qxuq9yyr1q7cglo1,Erica Clark,United States,Long Form,9557189,4633.03,Immortals Fenyx Rising Standard Edition
57pm2kskgbmje9hh5gy1qx2bgq7lkg86,Derek Godfrey,United Kingdom,Long Form,74488,12.93,Costume Quest 2
df78qn8pacc1x0l420z5t84cpkjykx9c,Lupe Jove Benavides,Spain,Long Form,82009,12.89,Conan Exiles
5pb8z3v6dixfwuxx8l2ddh0uyhnqyyf9,Brandon Hopkins,United States,Short Form,9099555,2784.41,Farming Simulator 22
2cqxrqtwceecfvsjw7tbddcmoq5plwqn,Kato Hiroshi,Japan,Long Form,15763,3.73,Guild of Dungeoneering Ultimate Edition
0kvk5ik75uzcqj1whgdm5btjeeevv6m8,Cosimo Seifert,Germany,Short Form,851535,162.87,Thimbleweed Park
kz4z7whwkmy9x8sylemruyp04k43safy,Victoria Valdez,United States,LiveStreamer,459613,147.57,Dream Engines: Nomad Cities
d7xyljd2v57bmtt7fywm5cfv2vyn1kjs,Claudia Greggio,Italy,Short Form,404595,85.83,Freedom Fighters
4cmu30x8uc52cndgntl7dht3qtqi5l4u,Bertram Stolze,Germany,Short Form,8027221,926.03,Skate City
y7i0ama1kcphszux6t5lhjpb2t0ugwwi,Henrik Johansson,Sweden,LiveStreamer,21170,4.47,Empires of the Undergrowth
s0m0n8zu07jbjjmw50aio22j1v4ou9s3,Maurice Lemaître-Martel,France,Short Form,180211,30.63,Beast Breaker
v6y39m3jgw8p3t53xr9d129kz24i11qj,Dott. Armando Siffredi,Italy,Blogger,6780,1.08,Ys IX: Monstrum Nox
il4dzo3frcboxlmq5mtq1a2wbnvmq0g8,Joshua Watson,United Kingdom,Long Form,17083,3.86,Mars 2030 Editor
g6epz2nnc5a9skqxdgerhbv9myjcevdc,Jennifer Alvarez,United States,Long Form,76138,25.36,Sable
b1v1ccofh9194b70ldozy2nr4glgpjdj,Valerie Lozano,United States,Short Form,14146,5.27,The End is Nigh
5czarygtt4qqx7bqb0nqvtwolnt6kbdj,Charlie Collins,United Kingdom,LiveStreamer,751889,319.38,Subnautica
fu4rcf7wn7lt01o1vyohyvmtt71elo2a,Frederick Basu,India,Blogger,963506,140.89,APE OUT
1vua1qq1b4dg9oth0j0kvuigth8qgv1t,Brenda Spence,United States,LiveStreamer,694988,188.58,Rebel Galaxy Outlaw
36sx73hohdpybmto23f37d3tmzknc8xl,Han Ji-hoon,South Korea,Short Form,184317,36.36,Kosmokrats
nvzeskae3l1xtrblwu74pxmgndu50um8,Ito Takashi,Japan,Blogger,31397,2.75,Battlefield™ 2042
xxm7ybhowmyvsb9867lcukcehcbagw8v,Dr. Enzo Gabriel Ribeiro,Brazil,Short Form,3772,0.23,MONOPOLY® PLUS
7lz0e74fppalpvtfqmocxb7bme0hdwfj,Shivani Sarin,India,Blogger,9860152,1178.8,Faeria
gflyrj8gosd3m0xo3fesyaxypbp0e36s,John Mcintyre,United States,LiveStreamer,174138,58.44,Air Missions: HIND
3b2ids3dya1qwxtsgp709r281ejrzoyw,Robert Savage,United States,LiveStreamer,36918,17.88,The Walking Dead: Michonne - A Telltale Miniseries
cepifguoqg0sryer1fk8ah9ec2gul9ez,Amanda Conti,Italy,Long Form,76085,19.29,Darksiders II Deathinitive Edition
zhg1gf4ofpatm0txe321d5c21o6ww8ei,Bachittar Dube,India,LiveStreamer,770527,140.95,Trials Fusion: Standard Edition
l8grersjn4sikd8yuyb7rp9qqzp1oe4n,Ojas Dara,India,Blogger,286134,61.47,Assassin's Creed Origins Standard Edition
ghb7vvc4a2r24a3mlwu1lrzhfx9jsfvx,Gert Graf,Germany,Blogger,548544,40.9,Dread Nautical
0ymnnck58wvbvj6y2qsvwnob7fhlcceg,Han Min-seo,South Korea,Short Form,248209,60.09,The Bridge
8ftegavjbs6e9qyrko0z8hm3dgqc5yal,Charles Yogi,India,Short Form,7622,1.11,Alluris
6boodwzuuzujhm8uw5wwlqpx1kk71pt3,Michael Reeves,United States,LiveStreamer,1702,0.35,Vampyr
5hzidek70yqmjmzzagew7o6nur357ewv,Cecilia Montes Aliaga,Spain,Short Form,158068,45.57,Untitled Goose Game
skv1hg6ltvsg464r5d8cklfclynkl3cr,Lars Larsson,Sweden,Long Form,758602,228.97,Riders Republic
q1ndv86f1h7g1mvpy03bp85nju1u6pdu,Aadi Borde,India,LiveStreamer,17588,6.29,Gods Will Fall
frlraoy3oeem3n2s4s2nemk1wua12tye,Jost Ditschlerin,Germany,Blogger,880353,186.68,Recompile
hdfkpfc66693735l5mgbojcu08loswpx,Francis Wilson,Australia,Short Form,111113,23.81,Wolfenstein: The New Order
155stswkkxz7ptv4982hg8adl722j7jh,Kato Yuko,Japan,Long Form,84633,14.54,Dream Engines: Nomad Cities
n2ecrxow6s6ci0ubf33oc6ws4rq4pr11,James Todd,United States,Blogger,10843,1.16,The Long Dark
5wlwjojafi4ckom5f33dnrehu2m6nwmu,Ryszard Karaśkiewicz,Poland,LiveStreamer,11351,2.01,Sakuna: Of Rice and Ruin
r273aslqyexzvirh92v3wdk686nvuwaz,Tristan Mishra,India,Long Form,45720,10.03,Shadow Complex Remastered
h47ccojagqyj9cvs2cdg2y20t7exm07c,Hendrik Kramer,Netherlands,LiveStreamer,41924,9.3,Mind Scanners
5l5n007iyrbzp769bsg2t5fxxzwjuad8,Eleanor Morley,United Kingdom,Long Form,456145,79.95,Remnant: From the Ashes
7ecaaffsduc4k9i14yn6zjuy3k0e34tk,Tanaka Yuki,Japan,Long Form,57517,23.89,Freedom Fighters
f7vpmh4yypy4f3w9ks8wspf198fpqjrx,Mirella Weimer,Germany,Short Form,58101,10.16,PC Building Simulator
7u2b1ts46t1tzu9qegu5rbv6i2x4o5db,Kian van Nes-van Riet,Netherlands,LiveStreamer,437192,229.96,FTL: Faster Than Light
hbj4ntksz4x1u7xhee3m5pq034cbfccz,Timothy Bryant,United States,Long Form,25511,6.19,OUTRIDERS
kmcb03kv0i6iyt62yq5o4qi1m3qtng1y,Jennifer Ford,Australia,LiveStreamer,7225405,2363.97,Death Coming
j5r74m7y3hxq5orsycj0c4rkfxfqrlzc,Matthew Stone,United States,Blogger,48631,7.16,Alluris
o3lxflf9xriqa632f6qqerz0kqg9dymz,April Stout,United States,LiveStreamer,30612,14.81,This War of Mine
bgzwo5s4s8vd9r5pd1am7o5610jlptmz,Kobayashi Akira,Japan,Long Form,16898,2.59,Deponia: The Complete Journey
9szs6qvo5vun5sx422yz7mknz1h19sy3,James Freeman,Australia,Long Form,800326,194.17,Going Medieval
j4bwcht8kwqs38t37jmpulrrl1ez80vi,Dr. Vitor Hugo Lima,Brazil,Short Form,140673,11.14,Beast Breaker
0pm06d5lhoi1lkj41fm7ztt6y3hejn17,Dylan Moreno,United States,Short Form,854850,298.91,Crystal Crisis
sijzv07ey3en29us74ccfh9apun9woqi,Tanaka Naomi,Japan,Long Form,4223895,837.89,Wrath: Aeon of Ruin
9ghwibbuqy9a0vna5bqzxdx0j3x9p5ld,Shawn Vasquez,United States,Short Form,155991,26.56,Sid Meier’s Civilization® VI
ts8230lwf99ilxlv0m8azbxj13q1jnpn,Christine Park,United States,LiveStreamer,47530,24.75,Oxygen Not Included
9p9lakn16mu797two4x1hhatxm5eq67z,Adrienne Lelièvre-De Sousa,France,LiveStreamer,26132,12.55,Might and Magic: Heroes VII - Ultimate Edition
b9lanngi8e0qee0gvc50qw767z06avvw,Bradley Wong,United Kingdom,Long Form,82175,20.29,RollerCoaster Tycoon 3 Complete Edition
1njcnrekfhn1241rfdall1fbbh64f1eo,Anthony Coleman,Australia,Blogger,213534,38.26,The Longest Road on Earth
vtugc9ykne1oe6adbces2r6tqyqc4b61,Pepijn van Noort,Netherlands,Long Form,31902,5.39,Merchant of the Skies
e9ydf9emffguw18swcxsq8phldzqrbna,Lena Nilsson,Sweden,Long Form,732364,205.74,Costume Quest
3jgigwfs5r8lxx2akumhhl32xrlqict3,Tobiasz Koman,Poland,Long Form,48624,8.46,WE ARE FOOTBALL
liwurpck6phdx21fzg5t2tv8y65q45ce,Melissa Lane,United Kingdom,Long Form,30429,6.73,Transport Fever 2
wjlsh3tow4ycz04cdpqvl00ezzf8s2zg,Stina Persson,Sweden,Short Form,9318,2.93,HITMAN 3
jp2mmjls78kctlb6896yl1s9oczyi68l,Mary Gustafsson,Sweden,Short Form,47793,13.92,Crash Drive 3
0pn9ssxl9ribgmoj4iqsejwska3ylbxn,Tanaka Kaori,Japan,LiveStreamer,3645,1.28,AER Memories of Old
3fkpi6dhzq42u1h0omkw50o9gsvgkgrp,Watanabe Takashi,Japan,Short Form,489821,77.08,Amnesia: A Machine for Pigs
yy504pd0si3fiqjkk0slmr7n3ret1m4z,Gabriella Virgilio-Cundari,Italy,Blogger,2694,0.28,Far Cry®3 Standard Edition
v0v1px5tww0cuclr54y3kbegzp51v95t,Yvonne Martin,United Kingdom,LiveStreamer,218524,41.65,Carcassonne
s4vuva1si69ktiv06kbkkqgbekmfucvj,Ashlee Mitchell,United States,Short Form,220192,72.12,Thimbleweed Park
ytnzo08l00a4qbksktzm95nje14irz2u,Anna Persson,Sweden,Long Form,42696,20.01,Overcooked
3gnzdfqa2xawggg1iauykzn946nlz5kq,Daniel Cardoso,Brazil,Blogger,39673,3.2,The Walking Dead: Final Season
re1i3m4kkfc0m9mv19mhx7y0kr4360m0,Camila Brito,Brazil,Blogger,12204,0.88,Wolfenstein: The New Order
lmtf8hb3kompo0n1dj6yi7jlrun01sfy,Paul Roberts,United Kingdom,Short Form,41313,10.44,Railway Empire
7p9e3ejtai7cmngrmmyb3wytt52hul4d,Blas Hurtado Blanes,Spain,Long Form,43110,6.11,3 Out of 10: Season One
mx620dl71mtxcz3pnbaiea884jp7n1z9,Laurent Briand-Bonnin,France,Long Form,204791,47.48,STAR WARS™: Squadrons
q461cxik2772qwgorw3phupepqbdqjhz,Tanaka Kenji,Japan,Short Form,89764,17.62,theHunter: Call of the Wild™
z4lb0fmitwphkokpy98opbh4er3urev2,Eddie Schwartz,United States,Short Form,235785,76.74,Offworld Trading Company
5es6g0fjwr2uu73pl3aky986tl51xrrw,Kwon Min-jun,South Korea,Short Form,403976,101.23,Lovecraft's Untold Stories
yjql3b8n7966z8tvdbxnsxxsn3p7lod6,Nakamura Hiroshi,Japan,Short Form,42821,4.56,8Doors: Arum's Afterlife Adventure
d04xfpp54tqsjeopz8c572mporgj5t2p,Yoshita Dey,India,Short Form,44554,5.82,Oxenfree
3hh0xiprzqdcsf5a0am3v24ghzc1htgn,Danielle Jimenez,United States,Short Form,137072,33.27,Trackmania
vkretel70yvc4oj1x29k3i8qcu1lcgsg,Mrs Leanne Welch,United Kingdom,Short Form,15929,2.15,20XX
ng2qactar0fa20d2ghuhoy7qtymworos,Urte Rohleder,Germany,Long Form,26029,4.5,WHAT THE GOLF?
ajgojcvj0s121mjdsrr2ku2nnu8uy5mr,Gabriel Marion,France,Short Form,37481,5.54,Elite Dangerous
63hj1zp2yvekydwj19e66tkvveckfkpj,Ito Kaori,Japan,Long Form,14239,2.71,No Straight Roads
bcr2cl5t2ip67u1v4avg874avus05nqk,Dr Ellie Walker,United Kingdom,LiveStreamer,77447,24.74,Journey to the Savage Planet
newrx4me6xkjupqvubqezqjpal1dsp7i,Alexandria Vidal,France,Long Form,27683,9.65,ZOMBI
vef8w42a3685mhn77s4h3b2q3ldp5fkl,Jonathan Tiwari,India,Short Form,37945,8.45,NARAKA: BLADEPOINT
z4zldajjo5okhf23pdfy9zwqf78oslqb,Melissa Wiley,United States,Blogger,907667,192.85,Anno 1800 Standard Edition
m7kb6jnp8oy98eqcvxhkzfjckyslvk4r,Anthony Haas,United States,Long Form,765264,150.14,Mundaun
lerver2yzrgf29il1o5g5u6jdzo392pt,Park Jun-ho,South Korea,Long Form,205423,50.89,Diabotical
4sjg1fznsa34q8pi1yucgy3e0t9qq5nb,Jeremi Drozda,Poland,Short Form,572121,95.21,Sid Meier’s Civilization® VI
wyha9laenr33q51m04ojtqq1jur7zol6,Turvi Lata,India,Short Form,35682,3.75,Aeon Must Die!
b1dsy3dlq4los0y71j5s5sv88037avsl,Nakamura Sakura,Japan,LiveStreamer,40546,22.64,Child of Light: Ultimate Edition
3y0xaobk02lvumhf5ox05zhi646nz3ha,Ikshita Mahal,India,Blogger,65261,9.51,Discovery Tour: Viking Age
1zo776vx60racrrbor2dqr9fm6dbu57n,Han Hye-jin,South Korea,Long Form,183354,21.06,Coffee Talk
6vcbxzkoio54z54cek616cnhz2325yk5,Bertil Martinsson,Sweden,LiveStreamer,8123318,3935.25,"Neko Ghost, Jump!"
6fe0ztxv54ovdss85wjno5gjef9kc7zs,Martyn Wood,United Kingdom,Short Form,46200,10.32,Evan's Remains
yfyk3md6x73zca7fxloz2rcu8kd9gnlp,Antonietta Bernetti,Italy,Long Form,46444,19.85,Crayta
cvr9pcvot6y8suqvyqyljme2hq80ontj,Chavvi Patel,India,LiveStreamer,50810,21.7,Hamsterdam
ohvrjqayzmx3p5kug2ml15g35fb4g906,Lee Ji-woo,South Korea,Long Form,419971,71.72,Crysis Remastered Trilogy
gwoc4191hkk7x34udc4fh065afu20vma,Alphonse Vasseur du Joseph,France,Blogger,129375,10.18,Breathedge
hlowobnhiqltq4089hu9ydozf5ul1nam,Miss Shannon Lyons,United Kingdom,Short Form,24857,6.14,Limbo
xumvipvnwzvkxeldrodn9mkimgfzdkub,Hayley Jones,United Kingdom,Short Form,123478,11.14,Ticket to Ride
j5ta6uf6gk4p9odzmpogo93kh3h1g9ys,James Goodman,United States,LiveStreamer,2657,0.99,The Dungeon of Naheulbeuk
13qvbnk0scjwsh3mokbmjluupgnifpvd,Wridesh Handa,India,Long Form,80556,13.71,Salt and Sanctuary
7w1dakrm8j5ecruyf38diuovw1n6kvpu,Holly Wood,United States,LiveStreamer,4947,1.72,N0va Desktop
rh3l7tynu5q1osso2ufzzjropgrc38p5,David Hinton,United States,Blogger,42741,4.25,Stories Untold
agdhbsakf4c6td37vih7jx1hx0ys7gej,Kajetan Sabała,Poland,Long Form,91975,8.49,"3 out of 10, EP 1: Welcome To Shovelworks"
iqg94ir7tg68qv3qviyr3be8wfqaf00p,Yago Barros,Brazil,Blogger,69906,4.29,Red Dead Redemption 2
b8dm1aozujv1cijjrx3xhytdbu2j085r,Miss Rachel Ryan,United Kingdom,Short Form,106757,25.88,Hitchhiker - A Mystery Game
y18y8qnjqbla641gl5z2j0r43ngbttnw,Susan Garcia,Australia,Short Form,851169,154.54,A Good Snowman is Hard to Build
v4izmfj3p5itzn90x5dgr2b0xm8l40zo,Heidi Blankenship,United States,Blogger,8921970,602.28,DEMON'S TILT
njtdmoaunqqj8qygri3qe3pw2kzvuasd,Joseph Wilson,United States,Short Form,13092,1.82,Coffee Talk
x7k0n3yuyuirzublmat5hmkjalzx8vmr,Univ.Prof. Fedor Weimer B.Sc.,Germany,Blogger,17661,2.45,The Jackbox Party Pack 8
6ye84c6opn2bt2906dlfhr43e7jjhnbt,Laurent Bègue,France,LiveStreamer,202286,81.09,Shadow Man Remastered
f0l00xupndnla6sev4pvenk1bks978bx,Michelle Wheeler,United States,Long Form,237096,41.35,SuperMash
8c3pq5u74ij643yuoaih3iabc2t67a50,Jeremy Lewis,United Kingdom,Short Form,217778,56.18,DRAGON QUEST® XI S: Echoes of an Elusive Age™
fkxz8lc007pud6w0h67wprb98ds0yvzv,Xavier Bègue,France,Short Form,53916,7.3,Bloodroots
47d7nc2dzdrhezul4ae6ya8s2ddet4ke,Olaf Kade-Mühle,Germany,Blogger,32757,3.44,Diesel Brothers: Truck Building Simulator Editor
9s9vs1qekw7bzyi9v8u9da1l526rqgkc,Elizabeth Chapman,United States,Short Form,38782,4.8,Moonglow Bay
3z7kgkn0rvzlawpvfavpgbdlahkacpzc,Andrew Campbell,United States,Short Form,200728,45.12,SuperMash
2qq3h309zq0m3h4jjeoxe6ccfab00cqp,Colette Thomas,France,Short Form,16976,2.37,The Uncertain: Light at the End
xebpbbqhtxp0shaj4mh7lky55wrswg5t,Annelene Meister-Scheuermann,Germany,Short Form,182658,28.88,Iron Harvest
rnuyhe8jvrqvqlq93bvmy7twy6h7tnvo,Vincenzo Döring,Germany,Long Form,123094,51.84,Animation Throwdown: The Quest for Cards
csx49aaijp8es5o0om5lqmsaatmvstxd,Robin Jansson,Sweden,LiveStreamer,286176,104.16,Air Missions: HIND
cqs25c8yq4s37kch9ehnz16b8mpdrdxv,Kwon Hye-jin,South Korea,Long Form,119775,19.98,Relicta
4l4ewk0szmit3ctqmxqor9vwtym6tchu,Sander Haring-Verharen,Netherlands,Short Form,226580,50.42,Absolute Drift
0z7d2dey5xztxfiw87ey4to4hu2l4yy0,Maria Bennett,United States,Short Form,230564,68.06,Legend of Grimrock 2
axv6qy7za2j0o9055x8noh4tv4p53ajf,Janice Carpenter,United States,Long Form,23862,8.27,Partisans 1941
7bj46n6e0e4fzbcie99sv9cn9f3uxqkw,Gerrit van de Noordmark-Emmen,Netherlands,Short Form,148143,18.08,Obduction
c3uql208prn6p7mcyz51biq3rpnqinjv,Achim Herrmann,Germany,Long Form,245706,60.35,Empires of the Undergrowth
dgfbn64h9pjx63nt8zpkatji703cc4xb,Bella Borges,Brazil,Blogger,700168,50.26,Oddworld: Soulstorm Enhanced Edition
h34ybibh15vdas5t8tdjdau1s3rhzk0q,Asunción Mercader-Márquez,Spain,LiveStreamer,209227,88.94,Bridge Constructor: The Walking Dead
q4pa8d5zanx3xhw97wxh33c0x0czk9dt,Susan Pena,United States,Short Form,629599,155.28,Clid The Snail
kj6s17222oiyj5zfm4njicxat9vhad7w,Lars Sanders-Chotzen,Netherlands,Blogger,357490,24.86,Chernobylite
8m6ixaq7nxngbye21qpign2upfjn9d4x,Robert Long,United States,Long Form,24718,9.36,Claire de Lune
93q212ts0dcf1eh1fpmynz75npjo0m9r,Kevin Walter,United States,Long Form,100689,18.48,Exo One
wqb0we26qavhz8f5a854aa3yt2y6kz0j,Alexander Price-Whitehead,United Kingdom,Short Form,19563,3.16,LEGO® Batman™: The Videogame
p52dwhzr4ur1boczkwssnml4c7f4ygf7,Azad Chander,India,Blogger,44435,4.04,Astria Ascending
w2834tftui00sq1zasqblk85m43270bs,Lee Soo-jin,South Korea,Long Form,45639,13.11,Disaster Report 4: Summer Memories
o7yuo104s7cx9sux4407fiu6c9fn1hj7,Mitchell Young,United States,Short Form,397727,72.61,Planescape: Torment: Enhanced Edition
58mx4yqq14267yurnzp1oqkv0n4h2awn,Takahashi Akira,Japan,Short Form,395134,62.74,FOCUS INDIES BUNDLE: Curse of the Dead Gods + Shady Part of Me + Aeon Must Die!
4v8b90c3vj0pojkkcg9lk7787dwqrdnj,pani Liwia Saternus,Poland,Blogger,39858,2.22,Teacup
bc9uxc8wcjqtef9juw9igta7flx1l978,Elizabeth Arellano,United States,Long Form,655100,174.02,Ticket to Ride
1376qwvgfri7fz5xbiguj9cwi2skhkxv,Alphonse Clerc,France,Short Form,800787,203.96,Viscerafest
1w7kf0fkaiezadesvtyjicvrd7m1v9e7,Mary Bridges,United States,Long Form,27925,6.0,Scrapnaut
k3ih714u655mubzu2ukhe2o1j4juhwu5,Monika Rosén,Sweden,Blogger,20048,3.83,2064: Read Only Memories
6xcbuukgsuinjesps8q185gscmnuun4t,Jung Min-seo,South Korea,LiveStreamer,527348,171.02,SpellForce 3: Soul Harvest
c97c7bo119xp9n56nyxtxmgtt0iaakyt,Sabine Blondel,France,Long Form,189444,28.78,Super Meat Boy
qjaoo4l974zi27yb1z7geo9mrl3s0bhc,Theo da Paz,Brazil,LiveStreamer,200400,38.45,The Jackbox Party Pack 8
8foo36ud0cty1cerh6afbajfqp2i3x1o,Garima Brahmbhatt,India,Short Form,10184,1.26,Nioh 2 – The Complete Edition
ivdtj5bickt5ger163lkeisjekysqjse,Mr. Joshua Pacheco MD,Australia,Short Form,12752,2.32,GRIME
93wyw9ewwl5rs7jn7w1q3q4rssvrvega,Nimrat Seshadri,India,Long Form,158231,27.45,Genshin Impact
cag1jdhqw2vgqzdn0ep8rf4won6fawe3,Tiffany Watson,United States,Long Form,489672,103.85,Synergia
3p89a42ixymrm0qwdn8flmss4alt1g4c,Stephanie Marshall,United States,Blogger,662831,109.87,Itch.io
z17bsv1gjo16iin141t2r4t457kb9p3u,Christopher Hernandez,Australia,LiveStreamer,1564343,315.5,AER Memories of Old
e3mkr4l2e4f4n3za0co76o8qhe4qgful,Anna Persson,Sweden,LiveStreamer,48259,13.86,Tribes of Midgard
z9w46s7po0yogp799lr55q96v6a9vv31,Mariah Montenegro,Brazil,Blogger,46264,4.94,Days Gone
51flmnavycs44phh62myz9vlu8wpfq2b,Choi Min-jun,South Korea,Short Form,42862,7.32,Murder by Numbers
oikrv8g4dyuvumsffrhd7mdy8uq9ia2w,Severin Bohlander B.A.,Germany,Blogger,49646,4.35,Might & Magic Heroes 3
6trouwfiajijnlp2s07jordbiqmgpoem,Kim Smith,United Kingdom,Short Form,129144,24.99,InnerSpace
d8qba3jp192iuufl9800w9uz6mrxlc88,Suzuki Sakura,Japan,Blogger,16938,4.36,The Talos Principle
7tfylc93zwu9ij0zcthqphw25j8q0qci,Ito Takashi,Japan,Blogger,220693,47.17,FTL: Faster Than Light
ifej5vkko7i2qtg33jq9b3ba6hveestr,Frau Josephine Loos B.Sc.,Germany,Blogger,4538,0.76,Pupperazzi
2yb4mlloy0hhzye6fxfg468gcr08tgbx,Dakota Sandoval,United States,LiveStreamer,30227,14.67,Never Alone (Kisima Ingitchuna)
y9vgqunv5exk1ds24zbqkt5wk5p6op1e,Timothy Saraf,India,LiveStreamer,848395,109.52,Darksiders Genesis
biet6hp5pe43konp32eh134cksx57wna,Bradley Daly-Stanley,United Kingdom,Short Form,109557,15.3,Deponia: The Complete Journey
pj0rf1649qwrfeg7ua2m8yzm09op9kua,Mr Ashley Potts,United Kingdom,Short Form,236286,33.3,Open Country
btrvxoi41ug82z8exrclic6b0yucqefr,Lazzaro Zoppetto,Italy,Short Form,185947,28.95,R-Type Final 2
v1wqrnbanxaoeygo7z55hpqa1vb0bs90,Amber Kim,United States,Short Form,217979,43.47,Missile Command: Recharged
z24xwexjj0y5ml2w8ewhdhjjv5b80o2u,Gillian White,United Kingdom,Blogger,16662,2.22,Surgeon Simulator 2
y0e4a5yplqdc6az175kf11wkccfgp4gj,Heiderose Gumprich B.A.,Germany,Long Form,18011,7.38,The Pathless
vud8cv80byis49quxc91jq6qvmol48x7,Dr. Guilherme Souza,Brazil,LiveStreamer,28592,6.38,Freedom Fighters
m0632cwt04chsdingxu8uu01uyzpd2ts,Frédéric Laurent-Delmas,France,Short Form,222369,43.47,The Uncertain: Light at the End
k6edlv9rgxbcsqfiv87ysus9pmfs99bk,Dr Bernard Rogers,United Kingdom,Long Form,827897,369.59,Auto Chess
wgcd5867fdrisxfiriofssx93sbe00ds,Mrs Valerie Pearce,United Kingdom,Short Form,916269,125.93,Back 4 Blood: Standard Edition
q1smpyozflyn4u1hent0fnf3mk154wsm,Jan Sundberg,Sweden,Blogger,135184,9.46,Cyberpunk 2077
u9o12lto5djj4bzsxm3miq590t1ii52a,Steven Freeman,United States,Long Form,33813,13.59,The Witcher 3: Wild Hunt - Game of the Year Edition
ikgrdwlw7sx62n36gy9g9toued2iy7po,Roland Ivarsson,Sweden,LiveStreamer,1747,0.85,Hamsterdam
3ksgnbhds26fmr5ll1d9s9hbn5elb45l,Belinda Mccullough,Australia,Short Form,4023,1.14,Industries of Titan
h4o0j7ztbli6iah6yyczqp80kuds051u,William Turner,Australia,Short Form,745528,203.1,Dying Light 2 Stay Human
ctevwt6rodnmsaxwdsb99ocgchqvilq4,Charlotte Roberts,United Kingdom,Blogger,137025,22.72,Titan Quest Anniversary Edition
13g3wsvm1lmt2ksxq59h5ji5gfj1892a,Robert Burns,United States,Blogger,75860,18.23,Deponia: The Complete Journey
j3kps04jse17quami0uz7x4iky3ufn0d,Horst-Peter Bähr,Germany,Short Form,34846,9.81,Universe Sandbox
61t4u61trqnwto5j3vembmyp8l5i090s,Ronald Burke,Australia,Blogger,9884,0.57,Farmer's Dynasty
whjf66vd7wbqe7xyw4pud8be4e4hl3bv,Michael Jackson,United States,Long Form,369942,76.61,Killing Floor 2
